checkpoint,routing_branch_scale,layer,mean_routed_l2,mean_scaled_routed_l2_over_residual_l2
Delta-AttnRes,0.0,0,0.6898993253707886,0.0
Delta-AttnRes,0.0,1,0.6762807965278625,0.0
Delta-AttnRes,0.0,2,0.6381843686103821,0.0
Delta-AttnRes,0.0,3,0.852694034576416,0.0
Delta-AttnRes,0.0,4,0.852694034576416,0.0
Delta-AttnRes,0.0,5,0.7014500498771667,0.0
Delta-AttnRes,0.0,6,0.852694034576416,0.0
Delta-AttnRes,0.0,7,0.6737076044082642,0.0
Delta-AttnRes,0.0,8,0.41335850954055786,0.0
Delta-AttnRes,0.0,9,0.4378524422645569,0.0
Delta-AttnRes,0.0,10,0.5006067156791687,0.0
Delta-AttnRes,0.0,11,4.7128071784973145,0.0
Delta-AttnRes,0.0,12,0.5086353421211243,0.0
Delta-AttnRes,0.0,13,0.5530173778533936,0.0
Delta-AttnRes,0.0,14,6.160074710845947,0.0
Delta-AttnRes,0.0,15,12.042275428771973,0.0
Delta-AttnRes,0.0,16,41.364810943603516,0.0
Delta-AttnRes,0.0,17,28.533203125,0.0
Delta-AttnRes,0.0,18,54.96024703979492,0.0
Delta-AttnRes,0.0,19,75.84321594238281,0.0
Delta-AttnRes,0.0,20,80.36814880371094,0.0
Delta-AttnRes,0.0,21,114.10163116455078,0.0
Delta-AttnRes,0.0,22,66.83985900878906,0.0
Delta-AttnRes,0.0,23,35.57052230834961,0.0
Delta-AttnRes,0.0,24,45.59999465942383,0.0
Delta-AttnRes,0.0,25,65.3249282836914,0.0
Delta-AttnRes,0.0,26,28.34064292907715,0.0
Delta-AttnRes,0.0,27,3.1124672889709473,0.0
Delta-AttnRes,0.25,0,0.6898993253707886,0.08762745559215546
Delta-AttnRes,0.25,1,0.6762807965278625,0.006184414029121399
Delta-AttnRes,0.25,2,0.6381843686103821,0.0040528737008571625
Delta-AttnRes,0.25,3,0.852694034576416,0.004440337419509888
Delta-AttnRes,0.25,4,0.852694034576416,0.0038338489830493927
Delta-AttnRes,0.25,5,0.7014500498771667,0.00263204169459641
Delta-AttnRes,0.25,6,0.852694034576416,0.0028004590421915054
Delta-AttnRes,0.25,7,0.6737076640129089,0.0020121228881180286
Delta-AttnRes,0.25,8,0.4133577346801758,0.0011185756884515285
Delta-AttnRes,0.25,9,0.4378529489040375,0.0010722024599090219
Delta-AttnRes,0.25,10,0.49858611822128296,0.0010820780880749226
Delta-AttnRes,0.25,11,4.61253547668457,0.008314899168908596
Delta-AttnRes,0.25,12,0.5086356997489929,0.0008651756797917187
Delta-AttnRes,0.25,13,0.5530151128768921,0.0008827265701256692
Delta-AttnRes,0.25,14,6.130117893218994,0.009333914145827293
Delta-AttnRes,0.25,15,11.95701789855957,0.017621608451008797
Delta-AttnRes,0.25,16,41.481876373291016,0.05306458845734596
Delta-AttnRes,0.25,17,28.510549545288086,0.030651120468974113
Delta-AttnRes,0.25,18,54.960025787353516,0.053127698600292206
Delta-AttnRes,0.25,19,75.9979476928711,0.05947716161608696
Delta-AttnRes,0.25,20,80.48856353759766,0.05168427154421806
Delta-AttnRes,0.25,21,114.51133728027344,0.05928032100200653
Delta-AttnRes,0.25,22,66.86181640625,0.02978932298719883
Delta-AttnRes,0.25,23,35.67696762084961,0.013413861393928528
Delta-AttnRes,0.25,24,45.77773666381836,0.01492325123399496
Delta-AttnRes,0.25,25,65.66999053955078,0.018979793414473534
Delta-AttnRes,0.25,26,28.235393524169922,0.006469051353633404
Delta-AttnRes,0.25,27,3.137289524078369,0.0005128378979861736
Delta-AttnRes,0.5,0,0.6898993253707886,0.17517977952957153
Delta-AttnRes,0.5,1,0.6762807965278625,0.012659957632422447
Delta-AttnRes,0.5,2,0.6381843686103821,0.008265630342066288
Delta-AttnRes,0.5,3,0.852694034576416,0.00902305543422699
Delta-AttnRes,0.5,4,0.852694034576416,0.007763870060443878
Delta-AttnRes,0.5,5,0.7014500498771667,0.00532081164419651
Delta-AttnRes,0.5,6,0.852694034576416,0.005648504011332989
Delta-AttnRes,0.5,7,0.6737077832221985,0.004054987337440252
Delta-AttnRes,0.5,8,0.4133569598197937,0.002252769423648715
Delta-AttnRes,0.5,9,0.4378533363342285,0.002157443668693304
Delta-AttnRes,0.5,10,0.49717119336128235,0.002167472383007407
Delta-AttnRes,0.5,11,4.489439487457275,0.016152216121554375
Delta-AttnRes,0.5,12,0.5086362361907959,0.0017354226438328624
Delta-AttnRes,0.5,13,0.5530115365982056,0.0017697499133646488
Delta-AttnRes,0.5,14,6.037309169769287,0.018419474363327026
Delta-AttnRes,0.5,15,11.725502014160156,0.034619420766830444
Delta-AttnRes,0.5,16,41.22362518310547,0.10558202862739563
Delta-AttnRes,0.5,17,28.332427978515625,0.06075003743171692
Delta-AttnRes,0.5,18,54.53310012817383,0.10501575469970703
Delta-AttnRes,0.5,19,75.53523254394531,0.11744916439056396
