checkpoint,logit_scale,mean_max_routing_weight,next_token_nll,perplexity,delta_nll_vs_scale_1,delta_nll_ci_95_low,delta_nll_ci_95_high,evaluation_samples,evaluation_tokens
AttnRes,0.5,0.42489516015723927,1.041196790212187,2.832605020544425,0.008902624332879583,0.007904947957207503,0.009880443682843514,281,122180
AttnRes,0.75,0.46518026332077206,1.0339460471898372,2.8121408094802334,0.0016518813105297347,0.0011724637243212277,0.002124738182955334,281,122180
AttnRes,1.0,0.5018475785616756,1.0322941658793074,2.807499321283718,0.0,0.0,0.0,281,122180
AttnRes,1.5,0.5655023895296606,1.039825130106092,2.8287223127278875,0.007530964226784453,0.0067455015049661445,0.008261881219560986,281,122180
AttnRes,2.0,0.6180919387100084,1.0603770786971658,2.887459583510079,0.028082912817858352,0.026613394248647195,0.029580530134026225,281,122180
Delta-AttnRes,0.5,0.8331402624468479,1.0298991334596386,2.800783315127634,0.0002022677502904191,-1.6481640557164098e-05,0.00041065376708849133,281,122180
Delta-AttnRes,0.75,0.8840257735732913,1.0296842039616882,2.8001814088618686,-1.2661747659903355e-05,-0.00014347249368085066,0.00012286247789891966,281,122180
Delta-AttnRes,1.0,0.912126953478151,1.0296968657093482,2.8002168642767327,0.0,0.0,0.0,281,122180
Delta-AttnRes,1.5,0.941535852167158,1.0297336531536223,2.8003198789933954,3.678744427415559e-05,-0.00010399611905748506,0.00016430644080406572,281,122180
Delta-AttnRes,2.0,0.9565063978498042,1.0297319243320722,2.8003150377442263,3.505862272401572e-05,-0.00012016211470604545,0.00019355366473283552,281,122180
